order_id,delivery_date,region,service_type,promised_time_minutes,delivery_time_minutes,customer_id,customer_rating,promotional_campaign_id
D1450,5/4/2024,West,Express,120,10,C101,3,CAMP001
D1451,5/5/2024,West,Warehousing,60,10,C204,4,CAMP001
D1452,27/04/2024,North,Warehousing,60,156,C224,,CAMP001
D1453,17/02/2024,South,Express,1440,1532,C209,5,
D1454,29/03/2024,South,Warehousing,60,10,C185,1,
D1455,24/08/2024,North,Express,1440,993,C268,5,
D1456,28/09/2024,South,Warehousing,1440,1522,C219,4,CAMP001
D1457,7/7/2024,North,Parcel,60,23,C226,4,CAMP001
D1458,10/7/2024,South,Warehousing,90,157,C282,3,CAMP001
D1459,9/3/2024,East,Parcel,90,481,C115,3,CAMP001
D1460,4/10/2024,East,Warehousing,1440,1435,C161,3,
D1461,14/12/2024,West,Parcel,60,10,C212,1,CAMP002
D1462,3/9/2024,East,Warehousing,90,10,C275,2,CAMP002
D1463,16/03/2024,East,Parcel,60,10,C257,2,CAMP001
D1464,2/6/2024,East,Express,60,92,C111,3,CAMP002
D1465,23/05/2024,North,Express,60,70,C134,4,
D1466,26/03/2024,East,Parcel,2880,3224,C110,3,
D1467,3/7/2024,East,Warehousing,60,159,C163,1,CAMP002
D1468,11/10/2024,West,Parcel,2880,2854,C149,,CAMP001
D1469,7/8/2024,East,Warehousing,1440,1299,C248,5,CAMP002
D1470,9/3/2024,East,Express,90,143,C168,4,CAMP002
D1471,16/02/2024,South,Warehousing,90,10,C147,,CAMP002
D1472,3/4/2024,West,Express,90,125,C119,4,
D1473,25/08/2024,West,Warehousing,90,187,C200,,
D1474,22/07/2024,West,Warehousing,90,47,C294,1,
D1475,5/8/2024,West,Warehousing,90,10,C271,3,CAMP003
D1476,6/12/2024,West,Parcel,90,10,C260,2,CAMP003
D1477,8/2/2024,West,Parcel,1440,1668,C288,2,
D1478,9/4/2024,North,Express,60,140,C236,2,
D1479,15/10/2024,East,Express,120,205,C167,4,
D1480,10/9/2024,West,Parcel,2880,2568,C134,4,CAMP001
D1481,9/8/2024,East,Express,120,395,C164,4,
D1482,22/12/2024,East,Parcel,120,27,C107,2,CAMP003
D1483,23/01/2024,North,Warehousing,60,10,C144,5,
D1484,6/9/2024,West,Express,60,10,C186,4,
D1485,10/1/2024,South,Express,60,10,C274,3,
D1486,2/9/2024,North,Parcel,90,321,C267,4,CAMP001
D1487,20/11/2024,South,Express,1440,1697,C175,3,
D1488,9/4/2024,East,Express,90,57,C281,3,CAMP001
D1489,16/10/2024,East,Warehousing,1440,1305,C175,5,CAMP002
D1490,28/06/2024,North,Express,1440,1365,C273,3,CAMP001
D1491,10/8/2024,North,Warehousing,120,51,C146,3,
D1492,6/9/2024,South,Parcel,120,10,C114,5,CAMP002
D1493,26/05/2024,West,Express,1440,1382,C204,4,CAMP002
D1494,5/4/2024,South,Warehousing,1440,1470,C246,1,
D1495,13/09/2024,North,Parcel,90,293,C125,2,CAMP002
D1496,20/11/2024,South,Express,90,92,C151,1,
D1497,4/1/2024,North,Parcel,120,10,C192,4,CAMP003
D1498,16/01/2024,South,Express,60,130,C249,3,CAMP001
D1499,6/10/2024,North,Parcel,1440,1389,C120,2,
